lang,field,filter,filter_value,mean,pstdev,number of packages
en@shaw,summary,type,desktop,5.62,23.03,1050
en@shaw,description,type,desktop,0,0.0,1050
en@shaw,package stats,type,desktop,0.48,6.88,1050
en_AU,name,,,0.42,6.5,1416
en_AU,summary,,,1.13,10.57,1416
en_AU,description,,,0,0.0,1416
en_AU,package stats,,,1.48,12.09,1416
en_AU,name,type,desktop,0.57,7.54,1050
en_AU,summary,type,desktop,1.52,12.25,1050
en_AU,description,type,desktop,0,0.0,1050
en_AU,package stats,type,desktop,2.0,14.0,1050
en_CA,name,,,1.27,11.2,1416
en_CA,summary,,,1.84,13.43,1416
en_CA,description,,,0,0.0,1416
en_CA,package stats,,,0.21,4.6,1416
en_CA,name,type,desktop,1.71,12.98,1050
en_CA,summary,type,desktop,2.48,15.54,1050
en_CA,description,type,desktop,0,0.0,1050
en_CA,package stats,type,desktop,0.29,5.34,1050
en_GB,name,,,2.12,14.4,1416
en_GB,summary,,,5.37,22.54,1416
en_GB,description,,,1.77,13.17,1416
en_GB,package stats,,,6.0,23.75,1416
en_GB,name,type,desktop,2.86,16.66,1050
en_GB,summary,type,desktop,7.24,25.91,1050
en_GB,description,type,desktop,2.38,15.25,1050
en_GB,package stats,type,desktop,6.38,24.44,1050
en_US,name,,,0.14,3.76,1416
en_US,summary,,,0.21,4.6,1416
en_US,description,,,0,0.0,1416
en_US,package stats,,,0.42,6.5,1416
en_US,name,type,desktop,0.19,4.36,1050
en_US,summary,type,desktop,0.29,5.34,1050
en_US,description,type,desktop,0,0.0,1050
en_US,package stats,type,desktop,0.57,7.54,1050
en_US@piglatin,name,,,0,0.0,1416
en_US@piglatin,summary,,,0.07,2.66,1416
en_US@piglatin,description,,,0,0.0,1416
en_US@piglatin,package stats,,,0,0.0,1416
en_US@piglatin,name,type,desktop,0,0.0,1050
en_US@piglatin,summary,type,desktop,0.1,3.08,1050
en_US@piglatin,description,type,desktop,0,0.0,1050
en_US@piglatin,package stats,type,desktop,0,0.0,1050
en_ZA,name,,,0,0.0,1416
en_ZA,summary,,,0.07,2.66,1416
en_ZA,description,,,0,0.0,1416
en_ZA,package stats,,,0,0.0,1416
en_ZA,name,type,desktop,0,0.0,1050
en_ZA,summary,type,desktop,0.1,3.08,1050
en_ZA,description,type,desktop,0,0.0,1050
en_ZA,package stats,type,desktop,0,0.0,1050
eo,name,,,7.42,26.2,1416
eo,summary,,,10.45,30.59,1416
eo,description,,,1.41,11.8,1416
eo,package stats,,,0.78,8.78,1416
eo,name,type,desktop,9.33,29.09,1050
eo,summary,type,desktop,13.43,34.1,1050
eo,description,type,desktop,1.9,13.67,1050
eo,package stats,type,desktop,1.05,10.18,1050
es,name,,,12.36,32.91,1416
es,summary,,,30.51,46.04,1416
es,description,,,9.32,29.07,1416
es,package stats,,,12.01,32.5,1416
es,name,type,desktop,14.48,35.19,1050
es,summary,type,desktop,38.76,48.72,1050
es,description,type,desktop,12.57,33.15,1050
es,package stats,type,desktop,15.43,36.12,1050
es_AR,name,,,0.07,2.66,1416
es_AR,summary,,,0.07,2.66,1416
es_AR,description,,,0,0.0,1416
es_AR,package stats,,,0,0.0,1416
es_AR,name,type,desktop,0.1,3.08,1050
es_AR,summary,type,desktop,0.1,3.08,1050
es_AR,description,type,desktop,0,0.0,1050
es_AR,package stats,type,desktop,0,0.0,1050
es_CL,name,,,0.07,2.66,1416
es_CL,summary,,,0.07,2.66,1416
es_CL,description,,,0,0.0,1416
es_CL,package stats,,,0,0.0,1416
es_CL,name,type,desktop,0.1,3.08,1050
es_CL,summary,type,desktop,0.1,3.08,1050
es_CL,description,type,desktop,0,0.0,1050
es_CL,package stats,type,desktop,0,0.0,1050
es_CO,name,,,0.07,2.66,1416
es_CO,summary,,,0.07,2.66,1416
es_CO,description,,,0,0.0,1416
es_CO,package stats,,,0,0.0,1416
es_CO,name,type,desktop,0.1,3.08,1050
es_CO,summary,type,desktop,0.1,3.08,1050
es_CO,description,type,desktop,0,0.0,1050
es_CO,package stats,type,desktop,0,0.0,1050
es_CR,name,,,0.07,2.66,1416
es_CR,summary,,,0.07,2.66,1416
es_CR,description,,,0,0.0,1416
es_CR,package stats,,,0,0.0,1416
es_CR,name,type,desktop,0.1,3.08,1050
es_CR,summary,type,desktop,0.1,3.08,1050
es_CR,description,type,desktop,0,0.0,1050
es_CR,package stats,type,desktop,0,0.0,1050
es_DO,name,,,0.07,2.66,1416
es_DO,summary,,,0.07,2.66,1416
es_DO,description,,,0,0.0,1416
es_DO,package stats,,,0,0.0,1416
es_DO,name,type,desktop,0.1,3.08,1050
es_DO,summary,type,desktop,0.1,3.08,1050
es_DO,description,type,desktop,0,0.0,1050
es_DO,package stats,type,desktop,0,0.0,1050
es_EC,name,,,0.07,2.66,1416
es_EC,summary,,,0.07,2.66,1416
es_EC,description,,,0,0.0,1416
es_EC,package stats,,,0,0.0,1416
es_EC,name,type,desktop,0.1,3.08,1050
es_EC,summary,type,desktop,0.1,3.08,1050
es_EC,description,type,desktop,0,0.0,1050
es_EC,package stats,type,desktop,0,0.0,1050
es_ES,name,,,0.42,6.5,1416
es_ES,summary,,,0.56,7.5,1416
es_ES,description,,,0.14,3.76,1416
es_ES,package stats,,,0.21,4.6,1416
es_ES,name,type,desktop,0.57,7.54,1050
es_ES,summary,type,desktop,0.76,8.7,1050
es_ES,description,type,desktop,0.19,4.36,1050
es_ES,package stats,type,desktop,0.29,5.34,1050
es_GT,name,,,0.07,2.66,1416
es_GT,summary,,,0.07,2.66,1416
es_GT,description,,,0,0.0,1416
es_GT,package stats,,,0,0.0,1416
es_GT,name,type,desktop,0.1,3.08,1050
es_GT,summary,type,desktop,0.1,3.08,1050
es_GT,description,type,desktop,0,0.0,1050
es_GT,package stats,type,desktop,0,0.0,1050
es_HN,name,,,0.07,2.66,1416
es_HN,summary,,,0.07,2.66,1416
es_HN,description,,,0,0.0,1416
es_HN,package stats,,,0,0.0,1416
es_HN,name,type,desktop,0.1,3.08,1050
es_HN,summary,type,desktop,0.1,3.08,1050
es_HN,description,type,desktop,0,0.0,1050
es_HN,package stats,type,desktop,0,0.0,1050
es_MX,name,,,0.07,2.66,1416
es_MX,summary,,,0.35,5.93,1416
es_MX,description,,,0,0.0,1416
es_MX,package stats,,,0.28,5.31,1416
es_MX,name,type,desktop,0.1,3.08,1050
es_MX,summary,type,desktop,0.48,6.88,1050
es_MX,description,type,desktop,0,0.0,1050
es_MX,package stats,type,desktop,0.1,3.08,1050
es_NI,name,,,0.07,2.66,1416
es_NI,summary,,,0.07,2.66,1416
es_NI,description,,,0,0.0,1416
es_NI,package stats,,,0,0.0,1416
es_NI,name,type,desktop,0.1,3.08,1050
es_NI,summary,type,desktop,0.1,3.08,1050
es_NI,description,type,desktop,0,0.0,1050
es_NI,package stats,type,desktop,0,0.0,1050
es_PA,name,,,0.07,2.66,1416
es_PA,summary,,,0.07,2.66,1416
es_PA,description,,,0,0.0,1416
es_PA,package stats,,,0,0.0,1416
es_PA,name,type,desktop,0.1,3.08,1050
es_PA,summary,type,desktop,0.1,3.08,1050
es_PA,description,type,desktop,0,0.0,1050
es_PA,package stats,type,desktop,0,0.0,1050
es_PE,name,,,0.07,2.66,1416
es_PE,summary,,,0.07,2.66,1416
es_PE,description,,,0,0.0,1416
es_PE,package stats,,,0,0.0,1416
es_PE,name,type,desktop,0.1,3.08,1050
es_PE,summary,type,desktop,0.1,3.08,1050
es_PE,description,type,desktop,0,0.0,1050
es_PE,package stats,type,desktop,0,0.0,1050
es_PR,name,,,0.07,2.66,1416
es_PR,summary,,,0.07,2.66,1416
es_PR,description,,,0,0.0,1416
es_PR,package stats,,,0,0.0,1416
es_PR,name,type,desktop,0.1,3.08,1050
es_PR,summary,type,desktop,0.1,3.08,1050
es_PR,description,type,desktop,0,0.0,1050
es_PR,package stats,type,desktop,0,0.0,1050
es_SV,name,,,0.07,2.66,1416
es_SV,summary,,,0.07,2.66,1416
es_SV,description,,,0,0.0,1416
es_SV,package stats,,,0,0.0,1416
es_SV,name,type,desktop,0.1,3.08,1050
es_SV,summary,type,desktop,0.1,3.08,1050
es_SV,description,type,desktop,0,0.0,1050
es_SV,package stats,type,desktop,0,0.0,1050
es_UY,name,,,0.07,2.66,1416
es_UY,summary,,,0.07,2.66,1416
es_UY,description,,,0,0.0,1416
es_UY,package stats,,,0,0.0,1416
es_UY,name,type,desktop,0.1,3.08,1050
es_UY,summary,type,desktop,0.1,3.08,1050
es_UY,description,type,desktop,0,0.0,1050
es_UY,package stats,type,desktop,0,0.0,1050
es_VE,name,,,0.14,3.76,1416
es_VE,summary,,,0.28,5.31,1416
es_VE,description,,,0.07,2.66,1416
es_VE,package stats,,,0.07,2.66,1416
es_VE,name,type,desktop,0.19,4.36,1050
es_VE,summary,type,desktop,0.38,6.16,1050
es_VE,description,type,desktop,0.1,3.08,1050
es_VE,package stats,type,desktop,0.1,3.08,1050
et,name,,,7.63,26.54,1416
et,summary,,,15.25,35.95,1416
et,description,,,2.68,16.16,1416
et,package stats,,,1.84,13.43,1416
et,name,type,desktop,9.62,29.49,1050
et,summary,type,desktop,20.57,40.42,1050
et,description,type,desktop,3.62,18.68,1050
et,package stats,type,desktop,2.48,15.54,1050
et_EE,name,,,0.07,2.66,1416
et_EE,summary,,,0.07,2.66,1416
et_EE,description,,,0,0.0,1416
et_EE,package stats,,,0,0.0,1416
et_EE,name,type,desktop,0.1,3.08,1050
et_EE,summary,type,desktop,0.1,3.08,1050
et_EE,description,type,desktop,0,0.0,1050
et_EE,package stats,type,desktop,0,0.0,1050
eu,name,,,9.04,28.67,1416
eu,summary,,,17.44,37.95,1416
eu,description,,,4.38,20.46,1416
eu,package stats,,,3.32,17.91,1416
eu,name,type,desktop,10.38,30.5,1050
eu,summary,type,desktop,21.81,41.3,1050
eu,description,type,desktop,5.9,23.57,1050
eu,package stats,type,desktop,4.1,19.82,1050
ex,name,,,0,0.0,1416
ex,summary,,,0.07,2.66,1416
ex,description,,,0,0.0,1416
ex,package stats,,,0,0.0,1416
ex,name,type,desktop,0,0.0,1050
ex,summary,type,desktop,0.1,3.08,1050
ex,description,type,desktop,0,0.0,1050
ex,package stats,type,desktop,0,0.0,1050
fa,name,,,6.71,25.02,1416
fa,summary,,,9.6,29.47,1416
fa,description,,,1.69,12.91,1416
fa,package stats,,,0.35,5.93,1416
fa,name,type,desktop,8.38,27.71,1050
fa,summary,type,desktop,12.29,32.83,1050
fa,description,type,desktop,2.29,14.94,1050
fa,package stats,type,desktop,0.48,6.88,1050
fa_IR,name,,,0.21,4.6,1416
fa_IR,summary,,,0.14,3.76,1416
fa_IR,description,,,0,0.0,1416
fa_IR,package stats,,,0,0.0,1416
fa_IR,name,type,desktop,0.29,5.34,1050
fa_IR,summary,type,desktop,0.19,4.36,1050
fa_IR,description,type,desktop,0,0.0,1050
fa_IR,package stats,type,desktop,0,0.0,1050
ff,name,,,0,0.0,1416
ff,summary,,,0.07,2.66,1416
