lang,field,filter,filter_value,mean,pstdev,number of packages
bn_IN,description,,,1.25,11.1,1603
bn_IN,package stats,,,0.19,4.32,1603
bn_IN,name,type,desktop,5.84,23.46,924
bn_IN,summary,type,desktop,7.47,26.29,924
bn_IN,description,type,desktop,2.16,14.55,924
bn_IN,package stats,type,desktop,0.32,5.69,924
it_IT,name,,,0.31,5.58,1603
it_IT,summary,,,0.44,6.59,1603
it_IT,description,,,0.25,4.99,1603
it_IT,package stats,,,0.12,3.53,1603
it_IT,name,type,desktop,0.54,7.34,924
it_IT,summary,type,desktop,0.76,8.67,924
it_IT,description,type,desktop,0.43,6.57,924
it_IT,package stats,type,desktop,0.22,4.65,924
ia,name,,,4.05,19.72,1603
ia,summary,,,6.18,24.07,1603
ia,description,,,2.0,13.99,1603
ia,package stats,,,0.81,8.97,1603
ia,name,type,desktop,1.52,12.22,924
ia,summary,type,desktop,5.52,22.84,924
ia,description,type,desktop,3.46,18.28,924
ia,package stats,type,desktop,1.41,11.78,924
pam,name,,,0,0.0,1603
pam,summary,,,0.06,2.5,1603
pam,description,,,0,0.0,1603
pam,package stats,,,0,0.0,1603
pam,name,type,desktop,0,0.0,924
pam,summary,type,desktop,0.11,3.29,924
pam,description,type,desktop,0,0.0,924
pam,package stats,type,desktop,0,0.0,924
sr,name,,,26.2,43.97,1603
sr,summary,,,26.82,44.3,1603
sr,description,,,13.54,34.21,1603
sr,package stats,,,7.49,26.32,1603
sr,name,type,desktop,30.3,45.96,924
sr,summary,type,desktop,31.6,46.49,924
sr,description,type,desktop,23.38,42.32,924
sr,package stats,type,desktop,11.47,31.87,924
fi,name,,,16.16,36.81,1603
fi,summary,,,31.32,46.38,1603
fi,description,,,16.09,36.75,1603
fi,package stats,,,7.36,26.11,1603
fi,name,type,desktop,14.94,35.64,924
fi,summary,type,desktop,39.18,48.81,924
fi,description,type,desktop,27.6,44.7,924
fi,package stats,type,desktop,12.66,33.26,924
tr,name,,,15.78,36.46,1603
tr,summary,,,31.07,46.28,1603
tr,description,,,15.66,36.34,1603
tr,package stats,,,8.67,28.14,1603
tr,name,type,desktop,14.94,35.64,924
tr,summary,type,desktop,39.72,48.93,924
tr,description,type,desktop,27.06,44.43,924
tr,package stats,type,desktop,13.2,33.85,924
am_ET,name,,,0.19,4.32,1603
am_ET,summary,,,0.19,4.32,1603
am_ET,description,,,0,0.0,1603
am_ET,package stats,,,0,0.0,1603
am_ET,name,type,desktop,0.32,5.69,924
am_ET,summary,type,desktop,0.32,5.69,924
am_ET,description,type,desktop,0,0.0,924
am_ET,package stats,type,desktop,0,0.0,924
en_ZA,name,,,0,0.0,1603
en_ZA,summary,,,0.06,2.5,1603
en_ZA,description,,,0,0.0,1603
en_ZA,package stats,,,0.06,2.5,1603
en_ZA,name,type,desktop,0,0.0,924
en_ZA,summary,type,desktop,0.11,3.29,924
en_ZA,description,type,desktop,0,0.0,924
en_ZA,package stats,type,desktop,0.11,3.29,924
an,name,,,2.06,14.2,1603
an,summary,,,2.74,16.34,1603
an,description,,,1.25,11.1,1603
an,package stats,,,0.81,8.97,1603
an,name,type,desktop,2.71,16.22,924
an,summary,type,desktop,3.9,19.35,924
an,description,type,desktop,2.16,14.55,924
an,package stats,type,desktop,0.22,4.65,924
ga,name,,,6.8,25.17,1603
ga,summary,,,7.61,26.52,1603
ga,description,,,0.31,5.58,1603
ga,package stats,,,0.56,7.47,1603
ga,name,type,desktop,7.03,25.57,924
ga,summary,type,desktop,9.96,29.94,924
ga,description,type,desktop,0.54,7.34,924
ga,package stats,type,desktop,0.97,9.82,924
zu,name,,,1.0,9.94,1603
zu,summary,,,0.87,9.3,1603
zu,description,,,0,0.0,1603
zu,package stats,,,0,0.0,1603
zu,name,type,desktop,1.08,10.35,924
zu,summary,type,desktop,1.41,11.78,924
zu,description,type,desktop,0,0.0,924
zu,package stats,type,desktop,0,0.0,924
ig,name,,,0,0.0,1603
ig,summary,,,0.06,2.5,1603
ig,description,,,0,0.0,1603
ig,package stats,,,0,0.0,1603
ig,name,type,desktop,0,0.0,924
ig,summary,type,desktop,0.11,3.29,924
ig,description,type,desktop,0,0.0,924
ig,package stats,type,desktop,0,0.0,924
nqo,name,,,0.06,2.5,1603
nqo,summary,,,0.06,2.5,1603
nqo,description,,,0,0.0,1603
nqo,package stats,,,0,0.0,1603
nqo,name,type,desktop,0.11,3.29,924
nqo,summary,type,desktop,0.11,3.29,924
nqo,description,type,desktop,0,0.0,924
nqo,package stats,type,desktop,0,0.0,924
ne_NP,name,,,0,0.0,1603
ne_NP,summary,,,0.06,2.5,1603
ne_NP,description,,,0,0.0,1603
ne_NP,package stats,,,0.06,2.5,1603
ne_NP,name,type,desktop,0,0.0,924
ne_NP,summary,type,desktop,0.11,3.29,924
ne_NP,description,type,desktop,0,0.0,924
ne_NP,package stats,type,desktop,0.11,3.29,924
tl_PH,name,,,0,0.0,1603
tl_PH,summary,,,0.06,2.5,1603
tl_PH,description,,,0,0.0,1603
tl_PH,package stats,,,0,0.0,1603
tl_PH,name,type,desktop,0,0.0,924
tl_PH,summary,type,desktop,0.11,3.29,924
tl_PH,description,type,desktop,0,0.0,924
tl_PH,package stats,type,desktop,0,0.0,924
kok@latin,name,,,0,0.0,1603
kok@latin,summary,,,0.12,3.53,1603
kok@latin,description,,,0.06,2.5,1603
kok@latin,package stats,,,0,0.0,1603
kok@latin,name,type,desktop,0,0.0,924
kok@latin,summary,type,desktop,0.11,3.29,924
kok@latin,description,type,desktop,0,0.0,924
kok@latin,package stats,type,desktop,0,0.0,924
ne,name,,,11.42,31.8,1603
ne,summary,,,7.05,25.6,1603
ne,description,,,1.31,11.37,1603
ne,package stats,,,0.25,4.99,1603
ne,name,type,desktop,17.86,38.3,924
ne,summary,type,desktop,11.15,31.47,924
ne,description,type,desktop,2.27,14.9,924
ne,package stats,type,desktop,0.43,6.57,924
bs,name,,,11.6,32.03,1603
bs,summary,,,17.34,37.86,1603
bs,description,,,9.11,28.77,1603
bs,package stats,,,2.43,15.41,1603
bs,name,type,desktop,11.69,32.13,924
bs,summary,type,desktop,22.29,41.62,924
bs,description,type,desktop,15.8,36.47,924
bs,package stats,type,desktop,3.03,17.14,924
da,name,,,14.47,35.18,1603
da,summary,,,27.95,44.87,1603
da,description,,,12.04,32.54,1603
da,package stats,,,9.42,29.21,1603
da,name,type,desktop,12.34,32.89,924
da,summary,type,desktop,34.74,47.61,924
da,description,type,desktop,20.78,40.57,924
da,package stats,type,desktop,14.72,35.43,924
mr,name,,,16.72,37.31,1603
mr,summary,,,12.16,32.69,1603
mr,description,,,2.18,14.61,1603
mr,package stats,,,0.62,7.87,1603
mr,name,type,desktop,22.62,41.84,924
mr,summary,type,desktop,15.69,36.37,924
mr,description,type,desktop,3.68,18.83,924
mr,package stats,type,desktop,1.08,10.35,924
my,name,,,0.81,8.97,1603
my,summary,,,0.44,6.59,1603
my,description,,,0,0.0,1603
my,package stats,,,0.06,2.5,1603
my,name,type,desktop,0.97,9.82,924
my,summary,type,desktop,0.76,8.67,924
my,description,type,desktop,0,0.0,924
my,package stats,type,desktop,0.11,3.29,924
brx,name,,,0.19,4.32,1603
brx,summary,,,0.19,4.32,1603
brx,description,,,0.06,2.5,1603
brx,package stats,,,0.06,2.5,1603
brx,name,type,desktop,0.32,5.69,924
brx,summary,type,desktop,0.22,4.65,924
brx,description,type,desktop,0,0.0,924
brx,package stats,type,desktop,0.11,3.29,924
ca-valencia,name,,,1.43,11.89,1603
ca-valencia,summary,,,10.61,30.79,1603
ca-valencia,description,,,9.42,29.21,1603
ca-valencia,package stats,,,0,0.0,1603
ca-valencia,name,type,desktop,1.08,10.35,924
ca-valencia,summary,type,desktop,15.58,36.27,924
ca-valencia,description,type,desktop,16.13,36.78,924
ca-valencia,package stats,type,desktop,0,0.0,924
az,name,,,1.56,12.39,1603
az,summary,,,1.75,13.1,1603
az,description,,,0.12,3.53,1603
az,package stats,,,0.19,4.32,1603
az,name,type,desktop,2.71,16.22,924
az,summary,type,desktop,3.03,17.14,924
az,description,type,desktop,0.22,4.65,924
az,package stats,type,desktop,0.32,5.69,924
sk_SK,name,,,0,0.0,1603
sk_SK,summary,,,0.12,3.53,1603
sk_SK,description,,,0.06,2.5,1603
sk_SK,package stats,,,0,0.0,1603
sk_SK,name,type,desktop,0,0.0,924
sk_SK,summary,type,desktop,0.22,4.65,924
sk_SK,description,type,desktop,0.11,3.29,924
sk_SK,package stats,type,desktop,0,0.0,924
zh,name,,,0.06,2.5,1603
zh,summary,,,0.31,5.58,1603
zh,description,,,0.19,4.32,1603
zh,package stats,,,0.25,4.99,1603
zh,name,type,desktop,0.11,3.29,924
zh,summary,type,desktop,0.54,7.34,924
zh,description,type,desktop,0.32,5.69,924
zh,package stats,type,desktop,0.43,6.57,924
ln,name,,,0.25,4.99,1603
ln,summary,,,0.31,5.58,1603
ln,description,,,0.31,5.58,1603
ln,package stats,,,0,0.0,1603
ln,name,type,desktop,0.43,6.57,924
ln,summary,type,desktop,0.54,7.34,924
ln,description,type,desktop,0.54,7.34,924
ln,package stats,type,desktop,0,0.0,924
zh-Hans,name,,,0.06,2.5,1603
zh-Hans,summary,,,0.06,2.5,1603
zh-Hans,description,,,0,0.0,1603
zh-Hans,package stats,,,0,0.0,1603
zh-Hans,name,type,desktop,0.11,3.29,924
zh-Hans,summary,type,desktop,0.11,3.29,924
zh-Hans,description,type,desktop,0,0.0,924
zh-Hans,package stats,type,desktop,0,0.0,924
sr@ijekavianlatin,name,,,8.55,27.96,1603
sr@ijekavianlatin,summary,,,7.67,26.62,1603
sr@ijekavianlatin,description,,,0,0.0,1603
sr@ijekavianlatin,package stats,,,0.25,4.99,1603
sr@ijekavianlatin,name,type,desktop,6.82,25.21,924
sr@ijekavianlatin,summary,type,desktop,4.87,21.52,924
sr@ijekavianlatin,description,type,desktop,0,0.0,924
sr@ijekavianlatin,package stats,type,desktop,0.43,6.57,924
fr_CA,name,,,0.19,4.32,1603
fr_CA,summary,,,0.37,6.11,1603
fr_CA,description,,,0.12,3.53,1603
fr_CA,package stats,,,0.06,2.5,1603
fr_CA,name,type,desktop,0.32,5.69,924
fr_CA,summary,type,desktop,0.65,8.03,924
fr_CA,description,type,desktop,0.22,4.65,924
fr_CA,package stats,type,desktop,0.11,3.29,924
cgg,name,,,0,0.0,1603
cgg,summary,,,0.06,2.5,1603
cgg,description,,,0,0.0,1603
cgg,package stats,,,0,0.0,1603
cgg,name,type,desktop,0,0.0,924
cgg,summary,type,desktop,0.11,3.29,924
cgg,description,type,desktop,0,0.0,924
cgg,package stats,type,desktop,0,0.0,924
dk,name,,,0.06,2.5,1603
dk,summary,,,0.06,2.5,1603
dk,description,,,0,0.0,1603
dk,package stats,,,0,0.0,1603
dk,name,type,desktop,0.11,3.29,924
dk,summary,type,desktop,0.11,3.29,924
dk,description,type,desktop,0,0.0,924
dk,package stats,type,desktop,0,0.0,924
nb,name,,,12.48,33.05,1603
nb,summary,,,20.34,40.25,1603
nb,description,,,7.42,26.22,1603
nb,package stats,,,3.31,17.88,1603
nb,name,type,desktop,13.64,34.32,924
nb,summary,type,desktop,27.16,44.48,924
nb,description,type,desktop,12.88,33.5,924
nb,package stats,type,desktop,4.44,20.59,924
sr-ijekavian,name,,,5.49,22.78,1603
sr-ijekavian,summary,,,5.36,22.53,1603
sr-ijekavian,description,,,4.3,20.3,1603
sr-ijekavian,package stats,,,0,0.0,1603
sr-ijekavian,name,type,desktop,7.58,26.46,924
sr-ijekavian,summary,type,desktop,7.36,26.11,924
sr-ijekavian,description,type,desktop,7.47,26.29,924
sr-ijekavian,package stats,type,desktop,0,0.0,924
mo,name,,,0.19,4.32,1603
mo,summary,,,0.19,4.32,1603
mo,description,,,0.19,4.32,1603
mo,package stats,,,0.06,2.5,1603
mo,name,type,desktop,0.32,5.69,924
mo,summary,type,desktop,0.32,5.69,924
mo,description,type,desktop,0.32,5.69,924
mo,package stats,type,desktop,0.11,3.29,924
ur_PK,name,,,0.19,4.32,1603
ur_PK,summary,,,0.25,4.99,1603
ur_PK,description,,,0,0.0,1603
ur_PK,package stats,,,0,0.0,1603
ur_PK,name,type,desktop,0.32,5.69,924
ur_PK,summary,type,desktop,0.43,6.57,924
ur_PK,description,type,desktop,0,0.0,924
ur_PK,package stats,type,desktop,0,0.0,924
tg,name,,,5.74,23.26,1603
tg,summary,,,4.49,20.71,1603
tg,description,,,1.25,11.1,1603
tg,package stats,,,0.06,2.5,1603
tg,name,type,desktop,7.25,25.93,924
tg,summary,type,desktop,5.52,22.84,924
tg,description,type,desktop,2.16,14.55,924
tg,package stats,type,desktop,0.11,3.29,924
hne,name,,,5.86,23.49,1603
hne,summary,,,2.31,15.02,1603
hne,description,,,0,0.0,1603
hne,package stats,,,0,0.0,1603
hne,name,type,desktop,8.33,27.64,924
hne,summary,type,desktop,3.03,17.14,924
hne,description,type,desktop,0,0.0,924
hne,package stats,type,desktop,0,0.0,924
kab,name,,,0.19,4.32,1603
kab,summary,,,0.12,3.53,1603
kab,description,,,0.06,2.5,1603
kab,package stats,,,0.19,4.32,1603
kab,name,type,desktop,0.32,5.69,924
kab,summary,type,desktop,0.22,4.65,924
