project,type,url,name,summary,description,package stats
edgar,desktop,http://www.parallelrealities.co.uk/p/legend-of-edgar.html,0,0,0,0
eiciel,desktop,http://rofi.roger-ferrer.org/eiciel/,0,0,0,0
ekmukta-fonts,font,https://github.com/girish-dalvi/Ek-Mukta,0,0,0,0.01
electron-cash,desktop,https://www.electroncash.org/,0,0,0,0
electrum,desktop,https://electrum.org/,0,0,0,0
PyMca,desktop,http://pymca.sourceforge.net/,0,0,0,0
emacs,desktop,http://www.gnu.org/software/emacs/,0,0,0,0
ibus-table-code,inputmethod,https://code.google.com/p/ibus-table-emoji/,0,0,0,0
empathy,desktop,https://wiki.gnome.org/Empathy,0,yes,yes,0.78
endless-sky,desktop,https://endless-sky.github.io/,0,0,0,0
engauge-digitizer,desktop,https://github.com/markummitchell/engauge-digitizer,0,0,0,0
engrampa,desktop,http://www.mate-desktop.org,yes,yes,yes,1.0
enigma,desktop,http://www.nongnu.org/enigma/,0,yes,0,0.55
entangle,desktop,http://entangle-photo.org/,0,0,0,0
eog-plugin-exif-display,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-export-to-folder,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-fit-to-width,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,0,0,0
eog-plugin-fullscreenbg,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-hide-titlebar,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-light-theme,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-map,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-maximize-windows,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-postasa,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-pythonconsole,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-send-by-mail,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog-plugin-slideshowshuffle,addon,https://wiki.gnome.org/Apps/EyeOfGnome/Plugins,yes,yes,0,0
eog,desktop,https://wiki.gnome.org/Apps/EyeOfGnome,yes,yes,yes,0.96
eom,desktop,http://mate-desktop.org/,yes,yes,yes,1.0
eric,desktop,https://eric-ide.python-projects.org,0,0,0,0
extremetuxracer,desktop,http://extremetuxracer.sourceforge.net/,0,0,0,0
nuvolaruntime,desktop,https://tiliado.eu/nuvolaplayer/,0,0,0,0
nuvola-app-8tracks,addon,https://github.com/tiliado/nuvola-app-8tracks,0,0,0,0
nuvola-app-amazon-cloud-player,addon,https://github.com/tiliado/nuvola-app-amazon-cloud-player,0,0,0,0
nuvola-app-bbc-iplayer,addon,https://github.com/tiliado/nuvola-app-bbc-iplayer,0,0,0,0
nuvola-app-bandcamp,addon,https://github.com/tiliado/nuvola-app-bandcamp,0,0,0,0
nuvola-app-deezer,addon,https://github.com/tiliado/nuvola-app-deezer,0,0,0,0
nuvola-app-google-calendar,addon,https://github.com/tiliado/nuvola-app-google-calendar,0,0,0,0
nuvola-app-google-play-music,addon,https://github.com/tiliado/nuvola-app-google-play-music,0,0,0,0
nuvola-app-groove,addon,https://github.com/tiliado/nuvola-app-groove,0,0,0,0
nuvola-app-jango,addon,https://github.com/tiliado/nuvola-app-jango,0,0,0,0
nuvola-app-jupiter-broadcasting,addon,https://github.com/tiliado/nuvola-app-jupiter-broadcasting,0,0,0,0
nuvola-app-kexp,addon,https://github.com/tiliado/nuvola-app-kexp,0,0,0,0
nuvola-app-logitech-media-server,addon,https://github.com/tiliado/nuvola-app-logitech-media-server,0,0,0,0
nuvola-app-mixcloud,addon,https://github.com/tiliado/nuvola-app-mixcloud,0,0,0,0
nuvola-app-owncloud-music,addon,https://github.com/tiliado/nuvola-app-owncloud-music,0,0,0,0
nuvola-app-plex,addon,https://github.com/tiliado/nuvola-app-plex,0,0,0,0
nuvola-app-siriusxm,addon,https://github.com/tiliado/nuvola-app-siriusxm,0,0,0,0
nuvola-app-soundcloud,addon,https://github.com/tiliado/nuvola-app-soundcloud,0,0,0,0
nuvola-app-spotify,addon,https://github.com/tiliado/nuvola-app-spotify,0,0,0,0
nuvola-app-tunein,addon,https://github.com/tiliado/nuvola-app-tunein,0,0,0,0
nuvola-app-yandex-music,addon,https://github.com/tiliado/nuvola-app-yandex-music,0,0,0,0
nuvola-app-youtube,addon,https://github.com/tiliado/nuvola-app-youtube,0,0,0,0
evince-libs,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-djvu,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-dvi,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-libs,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-libs,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-libs,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince-libs,addon,https://wiki.gnome.org/Apps/Evince/SupportedDocumentFormats,yes,yes,0,0
evince,desktop,https://wiki.gnome.org/Apps/Evince,yes,yes,yes,0.98
evolution-bogofilter,addon,https://live.gnome.org/Apps/Evolution,0,yes,0,0
evolution-ews,addon,https://live.gnome.org/Apps/Evolution,yes,yes,0,0
evolution-mapi,addon,https://live.gnome.org/Apps/Evolution,0,yes,0,0
evolution-pst,addon,https://live.gnome.org/Apps/Evolution,yes,yes,0,0
evolution-spamassassin,addon,https://live.gnome.org/Apps/Evolution,0,yes,0,0
evolution,desktop,https://wiki.gnome.org/Apps/Evolution,0,yes,yes,1.0
exaile,desktop,http://www.exaile.org,0,0,0,0.7
exfalso,desktop,https://quodlibet.readthedocs.org,0,yes,yes,0.93
extremetuxracer-common,font,http://extremetuxracer.sourceforge.net,0,0,0,0.01
eyesight,desktop,http://hawaiios.org/projects/eyesight,0,0,0,0
fbg2,desktop,http://sourceforge.net/projects/fbg/,0,0,0,0
fbzx,desktop,http://www.rastersoft.com/fbzx.html,0,0,0,0
gnome-shell-extension-fedmsg,shell-extension,https://github.com/lmacken/gnome-shell-extension-fedmsg,0,0,0,0
fillets-ng,desktop,http://fillets.sourceforge.net/,0,0,0,0
findthatword,desktop,http://findthatword.sourceforge.net/,0,0,0,0
firefox,desktop,http://www.mozilla.org/,0,0,0,1.0
firewall-config,desktop,http://www.firewalld.org,0,yes,0,1.0
five-or-more,desktop,https://wiki.gnome.org/Apps/Five%20or%20more,yes,yes,yes,0
